Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,Target,Model Year,Manufacture,Model
0.0,0.0,0.0,0.0,125000.0,2.72,1.0,1.0,4.0,179.67,4.0,23.06,2.0,55.0,0.0,3,10846.153846153846,0.0,2016,12,8
0.0,0.0,0.0,0.0,500000.0,2.9,1.0,1.0,3.0,340.33,0.0,14.15,6.0,45.0,0.0,5,8700.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,275000.0,2.75,0.0,0.0,4.0,309.73,0.0,57.39,2.0,35.0,0.0,3,12480.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,275000.0,1.64,1.0,1.0,4.0,405.27,0.0,34.32,3.0,25.0,0.0,4,12000.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,175000.0,1.37,1.0,1.0,3.0,106.27,7.0,3.33,2.0,35.0,0.0,2,14880.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,275000.0,1.77,1.0,1.0,4.0,116.55,0.0,15.57,3.0,45.0,0.0,2,9468.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,75000.0,2.42,0.0,0.0,3.0,117.79,3.0,2.71,1.0,65.0,0.0,2,11640.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,275000.0,1.96,1.0,1.0,3.0,228.39,4.0,11.79,3.0,65.0,0.0,3,7080.0,0.0,2016,12,8
0.0,1.0,1.0,0.0,225000.0,2.68,1.0,0.0,3.0,109.02,3.0,53.78,2.0,45.0,0.0,3,11200.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,125000.0,0.18,1.0,0.0,4.0,383.94,0.0,42.8,3.0,55.0,0.0,3,9000.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,225000.0,2.7,1.0,1.0,3.0,396.59,0.0,18.05,4.0,45.0,0.0,2,15367.5,0.0,2017,12,8
1.0,0.0,0.0,0.0,125000.0,1.4,0.0,0.0,4.0,119.08,3.0,31.31,1.0,35.0,0.0,3,22000.0,0.0,2016,12,8
0.0,1.0,0.0,0.0,175000.0,2.78,1.0,1.0,4.0,353.6,0.0,35.7,3.0,55.0,0.0,3,13400.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,375000.0,2.68,1.0,1.0,4.0,455.2,0.0,10.02,3.0,35.0,0.0,3,4500.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,175000.0,2.85,1.0,1.0,3.0,342.92,1.0,39.33,2.0,65.0,0.0,3,10400.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,125000.0,2.29,1.0,1.0,3.0,471.39,0.0,21.75,2.0,65.0,0.0,2,11492.571428571428,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,2.59,1.0,1.0,3.0,616.8,0.0,20.34,5.0,55.0,0.0,4,9840.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,475000.0,2.65,1.0,1.0,4.0,103.52,0.0,30.84,5.0,45.0,0.0,2,8494.5,0.0,2017,12,8
0.0,0.0,1.0,0.0,275000.0,2.73,1.0,1.0,4.0,340.25,18.0,9.01,2.0,55.0,0.0,2,9428.4,0.0,2016,12,8
0.0,0.0,1.0,0.0,225000.0,2.78,1.0,0.0,2.0,260.77,0.0,24.06,2.0,65.0,0.0,2,10661.53846153846,0.0,2016,12,8
0.0,0.0,1.0,0.0,125000.0,2.19,1.0,1.0,3.0,39.56,40.0,2.39,8.0,65.0,0.0,4,5333.333333333334,0.0,2016,12,8
1.0,0.0,0.0,0.0,125000.0,2.34,0.0,1.0,2.0,284.56,0.0,25.96,4.0,45.0,0.0,4,14590.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,275000.0,1.57,1.0,1.0,3.0,198.31,1.0,22.72,2.0,55.0,0.0,3,9820.8,0.0,2017,4,3
0.0,0.0,1.0,0.0,225000.0,-2.99,1.0,1.0,4.0,438.41,1.0,8.16,2.0,65.0,0.0,5,5871.428571428572,0.0,2016,12,8
0.0,0.0,1.0,0.0,175000.0,2.79,1.0,1.0,3.0,455.17,5.0,18.94,3.0,55.0,1.0,3,16219.384615384612,0.0,2016,12,8
0.0,0.0,0.0,0.0,275000.0,2.77,0.0,1.0,3.0,351.11,1.0,1.1,4.0,45.0,0.0,2,8400.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,125000.0,2.78,1.0,1.0,3.0,199.82,0.0,5.49,2.0,65.0,0.0,2,4120.0,0.0,2017,12,8
0.0,0.0,0.0,1.0,275000.0,1.11,1.0,1.0,4.0,117.46,6.0,22.01,3.0,65.0,0.0,3,12369.23076923077,0.0,2016,12,8
0.0,0.0,0.0,0.0,175000.0,1.58,1.0,1.0,3.0,266.4,2.0,0.76,5.0,35.0,0.0,3,12000.0,0.0,2016,12,8
