,Month Submitted,Year Submitted,lastpage. Last page,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,"FCV, BEV Dummy",Model Year,Manufacturer,Model
4778,5,2015,43.0,0,0,0,0,125000.0,2,0,1,3,363.67,0,14.3,4,45,1,2,23294,1.0,2013,Nissan,Leaf
4779,5,2015,43.0,0,0,0,0,175000.0,0,1,1,4,108.0,0,14.54,5,45,0,3,11814,1.0,2013,Nissan,Leaf
4780,5,2015,43.0,0,0,0,0,75000.0,2,1,1,4,144.78,0,14.58,4,55,0,2,7881,1.0,2012,Nissan,Leaf
4783,5,2015,43.0,0,0,0,0,425000.0,2,1,1,3,224.09,0,0.57,4,55,0,4,6281,1.0,2011,Nissan,Leaf
4789,5,2015,43.0,0,0,1,0,125000.0,2,0,1,4,371.72,0,4.58,3,35,1,2,1800,1.0,2014,Nissan,Leaf
4798,5,2015,43.0,0,0,0,0,75000.0,-3,1,1,2,62.51,0,5.99,3,35,0,4,8100,1.0,2015,BMW,i3
4799,5,2015,43.0,1,0,0,0,375000.0,0,1,1,3,312.89,1,10.41,2,55,0,3,22200,1.0,2015,Tesla,Model S
4810,5,2015,43.0,0,0,0,0,125000.0,1,1,1,2,303.18,30,18.0,4,55,0,3,37609,1.0,2011,Nissan,Leaf
4821,5,2015,43.0,0,0,1,0,275000.0,2,1,1,3,331.4,4,7.48,5,45,1,2,18495,1.0,2013,Tesla,Model S
4823,5,2015,43.0,0,0,0,0,175000.0,2,1,1,3,231.65,0,16.1,5,55,1,4,7200,1.0,2013,Nissan,Leaf
4827,5,2015,43.0,0,0,0,0,225000.0,2,1,1,4,444.53,0,13.64,2,55,0,4,7200,1.0,2014,Nissan,Leaf
4828,5,2015,43.0,0,0,0,0,175000.0,2,1,1,3,246.15,0,4.03,2,55,0,3,10590,1.0,2013,Nissan,Leaf
4835,5,2015,43.0,0,0,0,0,75000.0,2,1,0,2,290.83,0,20.86,2,45,0,2,10533,1.0,2014,BMW,i3
4845,5,2015,43.0,0,0,1,0,125000.0,2,1,1,4,88.21,0,4.91,4,35,1,2,6976,1.0,2011,Nissan,Leaf
4853,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,612.74,0,17.94,3,35,0,3,10500,1.0,2013,Nissan,Leaf
4854,5,2015,43.0,1,0,0,0,275000.0,2,1,1,3,250.19,0,6.11,4,45,0,2,600,1.0,2015,Nissan,Leaf
4861,5,2015,43.0,0,0,1,0,125000.0,1,1,1,4,84.85,1,8.76,1,65,1,1,8016,1.0,2014,Tesla,Model S
4867,5,2015,43.0,0,0,0,0,225000.0,2,1,1,4,949.86,0,2.82,4,45,1,2,7203,1.0,2011,Nissan,Leaf
4870,5,2015,43.0,0,0,0,0,175000.0,2,1,1,3,369.11,0,2.9,2,45,1,2,4978,1.0,2011,Nissan,Leaf
4895,5,2015,43.0,0,0,0,0,325000.0,-1,1,1,3,102.74,0,1.99,3,35,0,4,7065,1.0,2014,Fiat,500e
4899,5,2015,43.0,0,0,1,0,75000.0,2,1,1,3,728.87,0,19.06,4,35,1,3,11437,1.0,2012,Toyota,RAV4 EV
4900,5,2015,43.0,0,0,0,0,225000.0,-3,1,1,4,577.24,0,5.16,4,45,0,2,8400,1.0,2011,Nissan,Leaf
4902,5,2015,43.0,0,0,0,0,225000.0,0,1,1,3,338.07,0,4.03,4,35,0,2,8026,1.0,2011,Nissan,Leaf
4905,5,2015,43.0,0,0,0,0,225000.0,1,1,1,4,316.71,0,25.29,3,45,0,2,10483,1.0,2014,Chevrolet,Spark EV
4915,5,2015,43.0,0,0,0,0,175000.0,2,1,1,3,378.03,0,1.81,4,55,1,3,10363,1.0,2013,Toyota,RAV4 EV
4919,5,2015,43.0,0,0,1,0,325000.0,0,1,1,2,187.36,7,45.59,3,45,0,2,18500,1.0,2013,Tesla,Model S
4922,5,2015,43.0,0,0,0,0,175000.0,-1,1,1,3,350.79,0,36.63,4,55,0,4,15316,1.0,2014,Nissan,Leaf
4926,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,629.99,0,13.57,2,45,1,3,6750,1.0,2013,Nissan,Leaf
4927,5,2015,43.0,0,0,0,0,125000.0,-1,1,1,3,85.15,0,1.75,4,45,0,3,11089,1.0,2012,Nissan,Leaf
4929,5,2015,43.0,0,0,0,0,275000.0,2,1,1,4,218.63,3,10.93,4,45,0,2,10202,1.0,2013,Tesla,Model S
4938,5,2015,43.0,0,0,0,0,125000.0,0,1,1,2,136.74,0,24.73,2,55,1,2,14409,1.0,2012,Nissan,Leaf
4955,5,2015,43.0,0,0,0,0,175000.0,2,0,1,4,206.66,0,11.29,3,25,0,3,7411,1.0,2014,Chevrolet,Spark EV
4959,5,2015,43.0,0,0,1,0,175000.0,2,1,1,3,152.53,0,18.7,4,35,1,3,13090,1.0,2013,Nissan,Leaf
4966,5,2015,43.0,0,0,0,0,225000.0,2,1,1,2,772.79,0,46.22,2,55,0,2,4286,1.0,2011,Nissan,Leaf
4970,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,407.32,0,12.94,2,55,1,2,7471,1.0,2013,Nissan,Leaf
4975,5,2015,43.0,0,0,1,0,175000.0,2,1,1,4,917.62,0,6.01,2,55,1,3,7758,1.0,2014,Smart,fortwo
4992,5,2015,43.0,1,0,0,0,225000.0,2,0,1,3,551.42,0,22.56,4,35,0,2,15960,1.0,2014,Toyota,RAV4 EV
4996,5,2015,43.0,0,0,0,0,125000.0,1,1,1,3,906.84,0,20.06,2,35,0,3,14000,1.0,2014,Nissan,Leaf
