Model,Train_Accuracy,Test_Accuracy,Train_Recall,Test_Recall,Train_Precision,Test_Precision
SVM,0.8432048244669395,0.8427925665494727,0.8288444830582102,0.8325123152709359,0.8510258697591436,0.8552631578947368
Tuned SVM,1.0,1.0,1.0,1.0,1.0,1.0
Ridge Classfier,0.8332974370019384,0.8307383224510296,0.7701998262380538,0.7665024630541872,0.8785926660059464,0.8861047835990888
Tuned Ridge Classifier,0.8363127288391127,0.8357609241587142,0.7762814943527367,0.7763546798029557,0.8794291338582677,0.8873873873873874
