Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,Target,Model Year,Manufacturer,Model
0,0,0,0,175000.0,0,1,1,3,153.0,0,43.23,4,55,0,4,8970,0.0,2017,12,7
0,0,0,0,125000.0,2,1,1,2,179.06,0,10.8,1,65,0,2,12688,0.0,2017,12,7
0,0,1,0,225000.0,-3,1,1,3,230.34,0,1.19,2,55,0,2,5352,0.0,2017,12,7
0,0,0,0,175000.0,0,0,0,3,373.11,1,24.21,2,35,1,2,11850,0.0,2017,12,7
0,0,0,0,175000.0,2,1,1,4,197.05,15,4.93,2,35,0,1,20500,0.0,2016,12,7
0,0,1,0,125000.0,2,1,1,4,439.8,0,11.8,2,65,0,2,6947,0.0,2016,12,7
0,0,1,0,125000.0,2,1,1,4,349.26,1,8.0,2,65,0,3,5142,0.0,2017,12,7
1,0,0,0,225000.0,2,1,1,2,351.13,2,51.41,2,55,0,2,27570,0.0,2016,12,7
0,0,1,0,225000.0,2,1,1,3,534.1,0,11.87,4,45,0,3,8500,0.0,2017,12,7
0,0,0,0,175000.0,0,1,1,4,371.97,1,14.17,4,45,0,3,9840,0.0,2016,12,7
0,0,0,0,175000.0,0,1,1,3,115.95,0,47.62,3,35,0,3,10221,0.0,2016,12,7
1,0,0,0,175000.0,2,1,0,4,117.52,2,3.82,1,65,0,2,8800,0.0,2016,12,7
0,0,0,0,325000.0,1,1,1,4,243.04,0,8.19,2,35,0,2,15333,0.0,2015,5,14
0,0,1,0,125000.0,2,1,0,4,148.9,2,33.27,3,55,1,4,12428,0.0,2017,12,7
0,0,1,0,175000.0,2,1,1,3,86.33,12,8.17,2,65,0,3,11571,0.0,2015,5,14
0,1,1,0,275000.0,1,1,0,4,171.94,6,2.39,1,65,0,1,7764,0.0,2016,12,7
0,0,0,0,225000.0,2,1,0,3,413.11,8,45.25,2,55,0,2,8666,0.0,2016,12,7
0,0,0,0,75000.0,2,0,0,2,78.14,1,21.82,2,45,1,3,13608,0.0,2017,12,7
